gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
Klf2	2.39661044787904	8.7793790721283	36.3249472958918	1.26322087509311e-281	1.92679364492411e-281	634.178052889765
Fosb	2.32221785164372	8.56464817999752	42.0608571109073	0	0	845.754260501492
Malat1	1.91024869169	13.6549555564332	73.3469985927133	0	0	2409.70281662149
Fos	1.7415303080798	9.40706317082389	30.8363146799839	5.67248824427775e-205	7.93530674050116e-205	458.105478495429
Klf4	1.6418418546201	8.12783290934266	31.6479412008949	1.38901412241117e-215	1.96793346413024e-215	482.527085809567
Gm34455	1.55745667388419	7.94041594518728	34.6995415016997	9.75378413858557e-258	1.45087883377478e-257	579.411219368188
Btg2	1.53098133844549	9.65002760159899	34.2019820509405	1.2691008975078e-250	1.87219484733174e-250	562.940372069458
Jun	1.47258603587841	11.1120003456762	34.9434046559846	2.93958118285625e-261	4.39155044611773e-261	586.869648923504
Tmx4	1.39267421301211	8.59984778603548	37.0874989205953	3.59762569432274e-293	5.54689906722911e-293	660.871571526274
Jund	1.39192167030889	10.4226384916674	36.2141347526822	5.77193534729649e-280	8.78931091588536e-280	630.130328027019
Klf6	1.27130358111792	8.94279285738336	32.9319193781609	6.89684994221077e-233	9.96979289416389e-233	522.299928788042
Igkc	1.26940983360397	7.29472467024256	78.9556414409952	0	0	2774.69354653747
Hsp90aa1	1.24120526355154	8.63190621189921	36.677038412794	6.27116749270428e-287	9.61694649565371e-287	646.528890429036
S100a8	1.2095504384104	7.37201723875111	51.5912923004738	0	0	1255.76680686626
Egr1	1.17130876090606	9.11261048152659	26.1664872053548	6.35341093984485e-149	8.25786644611914e-149	329.390151027373
Hbb-bs	1.13433052021745	7.28665293854959	49.886738101171	0	0	1176.99789716025
S100a9	1.09553900248795	7.42412250105117	40.2642815749478	0	0	776.53236984392
Dusp1	1.02174799500465	8.57288025613588	25.623156837907	5.79671616550341e-143	7.47710376460091e-143	315.633885789877
Smad7	1.01786459277935	8.50682497747523	34.6917287788979	1.2635819664571e-257	1.87931727031517e-257	579.154436805512
Gm26802	0.977672664321351	7.49778685567345	33.3978573382206	2.53178110430189e-239	3.68664704447692e-239	536.878340366665
Neat1	0.846675045913504	7.95813135490775	25.7539632697623	2.18312184120166e-144	2.82133313330538e-144	318.741208256197
H3f3b	0.842029406548319	10.4789052773951	26.7600297968372	1.4361038935223e-155	1.88460124152111e-155	344.649915397928
Jmjd1c	0.838698807928447	8.50389269843296	32.1509369514027	2.74910231247721e-222	3.92870084932391e-222	497.901385771185
Junb	0.835183972165712	10.2030638127056	22.6436792755511	2.15220304641122e-112	2.66170262883529e-112	245.572275261354
mt-Nd4	0.797483905226031	9.07100830027058	25.8032614914997	6.31806004500029e-145	8.17259375540957e-145	320.181858431359
Rgs2	0.780946843361171	8.72488740779271	27.2177298024077	8.64069741151821e-161	1.14310469523595e-160	356.582642280982
Ccnl1	0.778898047754458	8.48909104615352	29.3461490811734	3.71884384177276e-186	5.08121406629769e-186	414.835539237737
Atf3	0.778569974138172	8.10695088550397	20.3367558613793	3.30568749593329e-91	3.9662602421309e-91	196.61849192507
Btg1	0.751396802313641	8.88897812591027	28.1357520208038	1.64011011190432e-171	2.19776632625531e-171	381.232672587715
Rgs1	0.749597960371501	8.95608218692415	20.1643457299764	1.03468939659528e-89	1.23905143212834e-89	193.369519932721
Gem	0.729038105678693	7.59619664345334	25.7960438860622	7.5767667184655e-145	9.79836103556037e-145	319.601648012544
Adap2os	0.715912659574316	7.32182180369705	57.8626800438328	0	0	1562.05468778874
B430010I23Rik	0.667478488071322	7.36482894435967	45.5728151352908	0	0	988.448390802552
Gm32849	0.666521073471506	7.32371634552286	54.8493980573303	0	0	1411.34056502155
Serpine1	0.66418041735425	7.33448678143444	45.5784465432796	0	0	988.598476589583
Srsf5	0.660612401716154	8.77427519001488	25.950750070813	1.52659966983771e-146	1.97883157646183e-146	323.838028385872
Gm26532	0.635376561294708	7.61200878008881	25.3890863611142	1.96972755029633e-140	2.53204330428269e-140	309.459701481829
2810013P06Rik	0.62946781117651	7.78166283109806	25.7245113828915	4.57427351866889e-144	5.91042369464214e-144	317.884068748739
Eif5	0.616310655200635	8.32335549473367	25.6011109526259	1.00582529615743e-142	1.29668562471645e-142	314.95882118174
Gm47664	0.609421005705555	7.45188935264987	40.3692824521066	0	0	780.374108766878
Gm11713	0.605381902098447	7.25119152732045	65.5492238716116	0	0	1973.55129217881
Ddx3x	0.603040394329422	7.88331317457651	25.6803353288306	1.38521517722343e-143	1.78830260838973e-143	316.788798838546
Dleu2	0.59997004540554	8.41146640126439	26.226469045365	1.37336181219981e-149	1.7867951106112e-149	330.745935586807
Kdm6b	0.594894751011479	7.52919990039882	29.9999014764681	2.64151195820139e-194	3.64609639985228e-194	433.139807962559
Tra2a	0.591684941950771	8.21209209064824	25.6603007684537	2.28817504770091e-143	2.95347424370584e-143	316.401520756029
Gm32036	0.586830418611184	7.22716831544944	71.4860131374536	0	0	2316.12315308251
Clk1	0.575723326649612	8.29690185881109	24.9530714853398	8.9281800880038e-136	1.13984018829396e-135	298.977339407773
Gm22146	0.562892308201364	7.212151292509	74.0311415253992	0	0	2469.03299302918
Retnlg	0.54771301358095	7.20593814466148	68.777221950052	0	0	2157.24443945214
Gm43813	0.547468200055776	7.33157991489342	50.764948327131	0	0	1217.1534418957
Slc15a3	0.54686188791238	8.01928748427392	22.7927091234946	7.75056165675476e-114	9.60568138506858e-114	248.464174158572
Rbm4b	0.546572413465433	7.3537479030073	49.2752308640876	0	0	1149.41602814947
Stx16	0.542918837324553	7.43149009723144	36.6932726772821	3.56186703282801e-287	5.46417478627155e-287	646.635806425535
Slc38a2	0.533194705360646	7.95961643338818	24.0722659857854	1.32903437106047e-126	1.67382540282581e-126	277.770186384449
Ppp1r15a	0.532006189088135	8.05042661015509	19.8777218114536	2.97808494847637e-87	3.55155214690942e-87	187.441686512193
Acox3	0.530761621233778	7.99228562238151	22.8767307665475	1.17891886063195e-114	1.46316219808285e-114	250.335325646803
Camp	0.525320071650167	7.2042798867805	62.2916390095064	0	0	1794.39756278704
Hmgb2	0.525298735653108	7.72805373913925	22.7505854756044	1.98734707487499e-113	2.46056387850626e-113	247.371526687369
Gm44752	0.525248260841506	7.23584945436243	63.3505910856795	0	0	1851.92331255481
Gm43378	0.523445280580084	7.22775764599523	65.5576919473476	0	0	1973.9814615798
S100a6	0.522423442782417	7.22132592174571	61.999116808225	0	0	1778.65120858844
Gm17056	0.521761996860223	7.24794201596512	52.8635748583489	0	0	1315.23634964478
Tra2b	0.51834170784168	8.41614007714609	23.35615857522	2.23805057168146e-119	2.79345305063724e-119	261.309340958494
Gm31243	0.508468614605198	7.20645178905247	72.4456836998352	0	0	2373.35153546233
Arrdc3	0.503390165774766	7.38822085028728	42.6882087462689	0	0	870.234617115148
Calr	0.500526200761186	9.00538390002479	20.4400099355961	4.1469539597082e-92	4.98187780688174e-92	198.839183770387
Ngp	0.49880914471141	7.20327772519431	60.6473148859996	0	0	1706.53923165093
E230029C05Rik	0.494672585699552	7.89530792970745	24.1193413430853	4.37739591071184e-127	5.51764011024755e-127	278.832441453877
Ccl5	0.494458291755189	7.25410051033757	47.8360566118195	0	0	1085.3429170731
Tmem88	0.488145134559759	7.25569984867072	53.1389829512908	0	0	1328.38363163119
Rabepk	0.487212497904872	7.29077013500275	51.4887136440432	0	0	1250.55530176616
Tmcc3	0.481434095756685	8.53415658215505	21.2281779847026	3.90333908954696e-99	4.73784141477503e-99	214.851670187835
Rtn2	0.47857373678274	7.19036151686562	73.4345900708254	0	0	2432.84734677897
Luc7l2	0.475547291181959	8.63546173203892	22.2474497736127	1.33913790954936e-108	1.64745396568348e-108	236.607208146286
Gm41764	0.474663971423007	7.19596401822322	71.1740201872139	0	0	2297.5747804325
Dusp18	0.474607840965175	7.29736092049446	46.342813594041	0	0	1020.86245047727
Gnl3	0.47239747850949	7.66071902297665	26.3544691074993	5.16902206891972e-151	6.7392404684449e-151	333.642035934704
Gm26724	0.472329917678905	7.21913668833174	62.7118307947114	0	0	1817.14597720867
Rhoh	0.467833805750534	8.66000346795569	21.0117713146012	3.51628923597541e-97	4.25798597119178e-97	210.390649286326
Hbb-bt	0.464777772334934	7.19990302506861	36.7307878461261	9.62926967334873e-288	1.47784879623969e-287	647.398520030298
Snrk	0.459368494133901	7.41401369845493	42.4679326470351	0	0	861.418487236111
Pcf11	0.458498443898407	7.51751254243235	32.7358162373855	3.32930918634782e-230	4.79822253554705e-230	515.542722562253
Gm12703	0.455857653623847	7.23101542798707	57.4779279937585	0	0	1542.2379489517
Ncl	0.455857152118751	8.28862233102111	20.5643533447072	3.35914980571624e-93	4.04330023175477e-93	201.136087121993
Fam71a	0.455219923313708	7.24935401543981	48.5036350036177	0	0	1114.81097945861
2610037D02Rik	0.451494213319718	7.26047792171627	51.9786221235576	0	0	1273.44357152839
Atf4	0.451234740163748	7.95663873282434	19.6965545018833	1.02512895041964e-85	1.22059575339878e-85	183.842929272457
Ccdc152	0.449513031547757	7.1828426363118	71.823654306948	0	0	2336.1419067612
Hba-a1	0.445662519196655	7.20701357623976	31.7740459776213	2.95953637742406e-217	4.20150070318358e-217	485.233925279927
Gm15503	0.441592085782492	7.48642756182252	32.6324119643777	8.54170340515471e-229	1.22910223359653e-228	512.276514550907
Phykpl	0.441048439718973	7.2658803480962	52.2871342021272	0	0	1287.92655036387
Odc1	0.439244024547341	7.49818093614585	29.9822721767169	4.40329743961178e-194	6.07551236117751e-194	432.466746422498
Gm43221	0.43858677074715	7.19150539531772	67.9039949552526	0	0	2106.90210549514
Ptma	0.436700345218965	9.36501780040041	16.8083873921261	4.68875611043482e-63	5.41597601374733e-63	132.251691723083
Chka	0.435833409444471	7.66760603121873	22.6950590629281	6.85843261933846e-113	8.486540016259e-113	245.994600287133
Rbm25	0.43464059242895	8.24915496626929	20.9561300758542	1.11056058105456e-96	1.34380891811616e-96	209.106295138008
Gm28809	0.434500136027727	7.21877846489728	55.3545864602086	0	0	1435.90043581491
Gigyf1	0.429900479570613	7.35502458838294	43.1940205425257	0	0	890.332461105278
Gm48855	0.429448357235176	7.22448780502099	58.0723152670089	0	0	1572.52757049268
Klf10	0.427327342116761	7.27067383874827	47.54970321165	0	0	1072.84329857879
