Row.names	MeanDecreaseAccuracy	MeanDecreaseGini	Rank_Gini_RF	s1	abs_coeff	Rank_absC_ENET	RankProd	RankProd_Rank
`MT-ATP6`	-0.541398504390203	0.185592960121238	522	0	0	542.5	283185	548
`MT-COX1`	1.38551365627984	0.28024855841384	237	0	0	542.5	128572.5	335
`MT-COX2`	1.97436451160014	0.217924434418245	385	0.0157685263858902	0.0157685263858902	219	84315	264
`MT-COX3`	-0.930013198062817	0.247140661621864	301	0	0	542.5	163292.5	379
`MT-CYTB`	-1.91023584656091	0.188069070055156	512	0	0	542.5	277760	538
`MT-ND2`	2.99826183148074	0.606262424456826	52	-0.195657844524046	0.195657844524046	41	2132	41
`MT-ND4`	3.04641150035931	1.0040894671517	24	-0.110533837427508	0.110533837427508	87	2088	39
aatk	0.440809092663847	0.250800170556608	293	0	0	542.5	158952.5	371
abcc8	0.500263871099101	0.173582324639234	576	-0.0390197517030605	0.0390197517030605	173	99648	291
acer2	-0.403901692085549	0.271050900790185	256	0	0	542.5	138880	346
actn4	0.758408066289152	0.26015221686317	272	-0.00279387039372736	0.00279387039372736	246	66912	233
adamtsl1	0.484445662117589	0.225249151695428	358	0	0	542.5	194215	418
adarb2	3.94395615500369	0.698017552445345	45	0.383463577267074	0.383463577267074	9	405	16
adgrb2	0.622658310552947	0.173835090320033	574	0	0	542.5	311395	597
adgrb3	1.67781602060023	0.28070200993813	234	0.0125080595343214	0.0125080595343214	226	52884	202
adgrl2	2.0638229564784	0.160343598811618	627	0	0	542.5	340147.5	644
agrn	0.711085364981247	0.204074047167921	425	0	0	542.5	230562.5	466
ahrr	0.447090167934337	0.310054660256609	193	0	0	542.5	104702.5	301
ajap1	-0.639637052810157	0.113330252358008	776	0	0	542.5	420980	780
ak5	0.301740263948449	0.178373234764616	550	0	0	542.5	298375	575
aldoc	2.2649209596806	0.499795421388242	73	-0.144259046847773	0.144259046847773	67	4891	60
alk	1.45761099853475	0.336965492327989	158	-0.0232988628896998	0.0232988628896998	206	32548	150
ankib1	1.12394720862026	0.253937436278642	283	0.0134945714129836	0.0134945714129836	222	62826	224
ankrd50	0.797564100226097	0.373885095525718	129	0.245295068302231	0.245295068302231	28	3612	55
anks1b	-0.458999032474642	0.190525153245128	494	0.0106460370285225	0.0106460370285225	231	114114	318
arhgap21	0.791633893163832	0.280311459859682	236	0	0	542.5	128030	334
arhgap23	-0.528690379594769	0.0884634903329365	814	0	0	542.5	441595	814
arpp21	0.320827639877326	0.223332268304596	364	0	0	542.5	197470	424
arrdc2	-1.59217216669696	0.3809504513271	123	-0.0657842719764778	0.0657842719764778	136	16728	115
arvcf	-0.109215196146708	0.15874863988074	634	0	0	542.5	343945	651
asic1	-0.534326622377121	0.220157839543152	376	0	0	542.5	203980	433
astn1	-1.20831970501736	0.183284429104096	526	0	0	542.5	285355	552
astn2	2.41734318516014	0.218611370844537	382	0.0550971081602518	0.0550971081602518	146	55772	212
atp1b1	2.09884144623634	0.411640116776999	105	0	0	542.5	56962.5	214
atp1b4	3.53635103587767	0.408369534441409	109	-0.167943138852512	0.167943138852512	56	6104	69
atp2a3	-0.587398872241677	0.140787392804604	698	0	0	542.5	378665	709
atp2b2	0.93957570094767	0.236627671183719	328	0	0	542.5	177940	397
avpi1	-0.189605144641146	0.115573300067255	774	0.081759212462883	0.081759212462883	112	86688	268
b4galnt4	-0.00588677613778216	0.190906986775695	491	0	0	542.5	266367.5	520
b4galt2	1.52198876075428	0.215321033013705	392	0	0	542.5	212660	441
begain	0.735612961897837	0.188202064293142	509	0	0	542.5	276132.5	535
bnc2	1.49599328057992	0.162807281164988	615	0	0	542.5	333637.5	633
brinp1	1.59567171440183	0.198057606379525	453	0	0	542.5	245752.5	490
cacna1a	1.75862613810489	0.209855114391325	412	0	0	542.5	223510	455
cacna1c	2.09750589493382	0.107248430662326	791	0	0	542.5	429117.5	793
cacna2d2	2.32197526403499	0.248694501027168	297	0.0271846745970396	0.0271846745970396	198	58806	221
cacna2d4	0.660873444558719	0.11094389526865	786	0	0	542.5	426405	789
cacnb2	0.319578236097198	0.3130134022939	187	0	0	542.5	101447.5	296
cacng2	-1.24182689011042	0.13928043323668	705	0	0	542.5	382462.5	716
cadm2	1.35847973816914	0.194205864961721	477	-0.0296139623036083	0.0296139623036083	192	91584	278.5
cadm3	2.59990750551728	0.200450786384541	443	0	0	542.5	240327.5	480
cadm4	2.68787001128319	0.530385290161471	66	0.0930602855819868	0.0930602855819868	100	6600	73
cadps	1.22350085864799	0.215005150188737	393	0	0	542.5	213202.5	442
calcrl	-0.354650206726373	0.134072698440293	725	0	0	542.5	393312.5	734
camkmt	0.570016949531707	0.172237222061127	580	0	0	542.5	314650	600
camsap2	-2.11802237779622	0.0709503400847212	823	0	0	542.5	446477.5	823
camta1	2.52569416863466	0.131849274210977	731	0	0	542.5	396567.5	739
cass4	-0.101769241737922	0.331243370017644	165	0	0	542.5	89512.5	275
cbln3	0.390632734222291	0.200743959019602	440	0	0	542.5	238700	478
cd200r1	0.428076853560202	0.289908267477847	219	0	0	542.5	118807.5	324
cd59	-1.4512633323575	0.119683510797125	767	0	0	542.5	416097.5	772
cd74	1.59952804875875	0.512260262615253	72	0	0	542.5	39060	160
cdh11	1.33795876346121	0.244061434168398	312	0	0	542.5	169260	387
cdh13	2.23528172652475	0.228602484483526	347	0.0806414164409884	0.0806414164409884	115	39905	163
cdh20	1.64565833286292	0.191311665790183	489	0	0	542.5	265282.5	518
cdh22	-0.767182565710701	0.0977348056869486	809	0	0	542.5	438882.5	810
cdh24	1.97076618250772	0.226476381131867	353	0	0	542.5	191502.5	414
