SampleID,Condition,Replicate,bamReads,bamControl,Peaks,PeakCaller
GF1,GF,1,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/ZMZ_c2_Brain_ATACseq_GF1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
GF2,GF,2,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/ZMZ_c2_Brain_ATACseq_GF2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
GM1,GM,1,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/ZMZ_c2_Brain_ATACseq_GM1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
GM2,GM,2,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/ZMZ_c2_Brain_ATACseq_GM2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OF1,OF,1,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/ZMZ_c2_Brain_ATACseq_OF1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OM1,OM,1,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/ZMZ_c2_Brain_ATACseq_OM1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OM2,OM,2,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/ZMZ_c2_Brain_ATACseq_OM2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YF1,YF,1,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/ZMZ_c2_Brain_ATACseq_YF1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YF2,YF,2,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/ZMZ_c2_Brain_ATACseq_YF2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YM1,YM,1,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/ZMZ_c2_Brain_ATACseq_YM1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YM2,YM,2,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/ZMZ_c2_Brain_ATACseq_YM2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
