Nfur_Accession	Nfur_Description	Nfur_Symbol	Human_Symbol
XP_015796010.1	mediator of RNA polymerase II transcription subunit 26-like isoform X2	LOC107397390	MED26
XP_015796011.1	calponin-2-like	LOC107372319	CNN2
XP_015796012.1	growth arrest and DNA damage-inducible protein GADD45 alpha-like isoform X1	LOC107372320	GADD45A
XP_015796014.1	dipeptidyl peptidase 9-like	LOC107372322	DPP8
XP_015796015.1	ubiquitin thioesterase OTUB1	otub1	OTUB1
XP_015796015.1	ubiquitin thioesterase OTUB1	otub1	OTUB2
XP_015796021.1	methyltransferase-like protein 12, mitochondrial isoform X2	mettl12	CSKMT
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	TRAV23DV6
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	TRAV1-1
XP_015796022.1	uncharacterized protein LOC107372326	LOC107372326	TRAV2
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRAV9-1
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRAV5
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRAV1-2
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRBV30
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRAV8-3
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRBV7-6
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRBV13
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRBV17
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRDV1
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRAV8-4
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRBV7-9
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRBV7-7
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRBV11-1
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRBV7-3
XP_015796023.1	uncharacterized protein LOC107372327	LOC107372327	TRBV2
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRAV30
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV10-2
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV10-3
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRBV5-5
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	TRAV38-1
